Line_number	Bin_numbers
1	10953
2	10875
3	10565
4	7451
5	4478
6	3578
7	3489
8	3486
9	1644
10	999
11	706
12	686
13	511
14	310
1	133861
2	10601
3	7540
4	5117
5	5276
6	4289
7	3567
8	1644
9	1207
10	1020
11	960
12	525
13	323
1	68520
2	7557
3	5159
4	6271
5	6735
6	4424
7	1666
8	1209
9	1356
10	1437
11	674
12	328
13	315
1	14649
2	5170
3	6323
4	8876
5	7255
6	2090
7	1227
8	1357
9	2189
10	874
11	404
12	651
13	372
1	8580
2	6335
3	8996
4	10067
5	3041
6	1633
7	1369
8	2191
9	1058
10	483
11	979
12	399
13	362
1	9399
2	9010
3	10304
4	3909
5	2341
6	1652
7	2228
8	1058
9	568
10	797
11	668
12	377
13	323
1	21206
2	10339
3	3952
4	2959
5	2455
6	2818
7	1075
8	568
9	999
10	1096
11	389
12	643
13	310
1	44024
2	3972
3	3007
4	3230
5	4295
6	1370
7	578
8	1666
9	1020
10	729
11	819
12	384
13	316
1	171480
2	3014
3	3267
4	5724
5	1874
6	735
7	4271
8	1222
9	1437
10	436
11	473
12	367
13	395
1	100299
2	3278
3	5819
4	2354
5	909
6	4962
7	2043
8	1368
9	874
10	1216
11	447
12	437
13	351
1	178436
2	5838
3	2385
4	1043
5	3893
6	5222
7	1586
8	2223
9	483
10	769
11	757
12	553
13	323
1	444482
2	2390
3	1049
4	4502
5	4842
6	2203
7	1623
8	1075
9	798
10	424
11	567
12	340
13	310
1	77041
2	1054
3	7467
4	5307
5	5045
6	1566
7	2738
8	578
9	1098
10	964
11	345
12	328
13	310
1	9479
2	53128
3	5127
4	6794
5	2300
6	1839
7	1334
8	1011
9	729
10	543
11	703
12	391
13	320
2	13960
3	6283
4	7328
5	1786
6	3055
7	714
8	1031
9	436
10	508
11	430
12	388
2	8001
3	8890
4	3048
5	1827
6	1329
7	2087
8	1457
9	1217
10	706
11	397
12	511
2	9343
3	10092
4	2360
5	3138
6	662
7	1621
8	891
9	769
10	960
11	737
12	323
2	20182
3	3921
4	2462
5	1489
6	6641
7	1648
8	493
9	424
10	674
11	419
12	315
2	37698
3	2962
4	4335
5	782
6	2838
7	2803
8	805
9	964
10	404
11	393
12	372
2	23123
3	3241
4	1884
5	5783
6	2192
7	1364
8	1116
9	543
10	979
11	487
12	362
2	15595
3	5736
4	910
5	6178
6	2309
7	734
8	740
9	508
10	668
11	686
12	323
2	18851
3	2359
4	3905
5	2512
6	3980
7	1338
8	446
9	1011
10	389
11	525
12	518
2	40670
3	1048
4	4865
5	1767
6	1767
7	1248
8	1229
9	1031
10	819
11	328
12	329
2	13139
3	4512
4	5078
5	2127
6	859
7	1841
8	780
9	1457
10	473
11	651
12	321
2	2748
3	5315
4	2302
5	3531
6	3011
7	1133
8	430
9	891
10	447
11	399
12	382
2	13068
3	6802
4	1792
5	1526
6	2313
7	631
8	979
9	493
10	758
11	377
12	368
2	7289
3	7345
4	1831
5	716
6	2412
7	1016
8	553
9	804
10	567
11	643
12	329
2	9063
3	3052
4	3164
5	8693
6	4216
7	1488
8	518
9	1111
10	345
11	384
12	316
2	18374
3	2363
4	1499
5	3437
6	1856
7	971
8	2041
9	740
10	703
11	367
12	638
2	30303
3	2466
4	783
5	2654
6	902
7	586
8	1580
9	446
10	430
11	437
12	412
2	16430
3	4343
4	5819
5	2888
6	1805
7	1485
8	1620
9	1228
10	397
11	553
12	400
2	11563
3	1888
4	6227
5	4983
6	1778
7	952
8	2730
9	780
10	737
11	340
12	477
2	13002
3	914
4	2516
5	2091
6	2605
7	530
8	1329
9	430
10	419
11	328
12	453
2	28597
3	3911
4	1775
5	951
6	1540
7	1243
8	714
9	979
10	393
11	391
12	411
2	8581
3	4871
4	2129
5	3827
6	789
7	705
8	1310
9	553
10	487
11	388
12	395
2	2400
3	5088
4	3551
5	2905
6	1400
7	653
8	1228
9	518
10	713
11	693
12	401
2	5821
3	2302
4	1529
5	3126
6	2059
7	4935
8	1803
9	713
10	972
11	532
12	601
2	6763
3	1792
4	716
5	5530
6	1277
7	2114
8	1101
9	972
10	685
11	334
12	367
2	9632
3	1831
4	8804
5	2305
6	702
7	1518
8	613
9	685
10	414
11	662
12	357
2	11844
3	3167
4	3449
5	1032
6	2146
7	1764
8	998
9	414
10	990
11	409
12	415
2	4881
