Line_number	Bin_numbers
1	512064
2	90963
3	13270
4	103
5	0
6	15
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	938784
2	108004
3	8372
4	0
5	0
6	7
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	0
2	39355
3	7055
4	87
5	40
6	0
7	12
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	1024128
2	0
3	11636
4	761
5	2
6	15
7	7
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	85344
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	1
10	0
11	0
12	0
13	0
14	0
1	0
2	74341
3	19105
4	0
5	90
6	29
7	3
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	967232
2	192921
3	6116
4	1231
5	331
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	881888
2	110235
3	1000
4	1903
5	10
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	512064
2	112774
3	18193
4	0
5	33
6	31
7	0
8	0
9	1
10	0
11	0
12	0
13	0
14	0
1	967232
2	73372
3	55807
4	4744
5	264
6	0
7	8
8	1
9	0
10	0
11	0
12	0
13	0
14	0
1	142240
2	0
3	46736
4	5346
5	0
6	66
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	0
2	28076
3	5850
4	0
5	0
6	17
7	17
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	0
2	0
3	0
4	0
5	742
6	22
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	853440
2	0
3	4574
4	388
5	0
6	10
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	682752
2	58051
3	330
4	0
5	784
6	0
7	0
8	1
9	0
10	0
11	0
12	0
13	0
14	0
1	341376
2	21798
3	2068
4	0
5	19
6	0
7	0
8	2
9	0
10	0
11	0
12	0
13	0
14	0
1	512064
2	2735
3	29489
4	0
5	11
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	824992
2	97902
3	0
4	2622
5	71
6	25
7	0
8	1
9	0
10	0
11	0
12	0
13	0
14	0
1	910336
2	13977
3	19747
4	259
5	26
6	8
7	4
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	881888
2	0
3	0
4	2532
5	279
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	28448
2	0
3	1931
4	742
5	85
6	31
7	13
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	256032
2	98341
3	0
4	147
5	853
6	161
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	85344
2	0
3	11343
4	320
5	15
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	824992
2	2452
3	986
4	0
5	25
6	0
7	4
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	455168
2	119531
3	986
4	0
5	1106
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	0
2	65939
3	3440
4	2493
5	0
6	0
7	9
8	0
9	1
10	0
11	0
12	0
13	0
14	0
1	28448
2	40395
3	11335
4	912
5	0
6	0
7	2
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	28448
2	219787
3	48082
4	928
5	245
6	0
7	9
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	455168
2	74824
3	31292
4	0
5	16
6	158
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	142240
2	95068
3	2509
4	106
5	1804
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	967232
2	98341
3	4984
4	1069
5	33
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	1024128
2	38731
3	14884
4	679
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	512064
2	97902
3	2093
4	0
5	253
6	1
7	0
8	0
9	1
10	0
11	0
12	0
13	0
14	0
1	0
2	61763
3	2537
4	199
5	0
6	0
7	21
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	910336
2	0
3	6757
4	0
5	621
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	682752
2	34986
3	6212
4	2845
5	94
6	3
7	0
8	1
9	0
10	0
11	0
12	0
13	0
14	0
1	85344
2	50913
3	0
4	330
5	0
6	27
7	1
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	483616
2	203001
3	0
4	4133
5	1204
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	853440
2	108004
3	0
4	0
5	45
6	0
7	4
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	85344
2	220793
3	2169
4	0
5	0
6	14
7	1
8	3
9	0
10	0
11	0
12	0
13	0
14	0
1	512064
2	40937
3	2780
4	289
5	17
6	24
7	0
8	0
9	1
10	0
11	0
12	0
13	0
14	0
1	853440
2	7965
3	16668
4	0
5	0
6	1
7	5
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	256032
2	217748
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	512064
2	217748
3	12439
4	0
5	1267
6	0
7	7
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	881888
2	8044
3	7179
4	382
5	1117
6	3
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	369824
2	184918
3	762
4	0
5	481
6	12
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	142240
2	17924
3	49455
4	0
5	389
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	483616
2	7354
3	2255
4	427
5	0
6	0
7	8
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	256032
2	0
3	43570
4	409
5	16
6	0
7	1
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	256032
2	72666
3	3154
4	147
5	0
6	114
7	0
8	1
9	0
10	0
11	0
12	0
13	0
14	0
1	910336
2	12103
3	0
4	0
5	58
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	85344
2	107392
3	2164
4	2395
5	0
6	0
7	2
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	0
2	0
3	29770
4	4412
5	32
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	910336
2	70028
3	0
4	257
5	83
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	28448
2	122867
3	5824
4	937
5	506
6	26
7	39
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	682752
2	62285
3	0
4	1065
5	269
6	1
7	4
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	910336
2	133446
3	40
4	0
5	2
6	30
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	369824
2	7809
3	0
4	0
5	189
6	59
7	2
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	256032
2	203222
3	15107
4	533
5	108
6	2
7	2
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	483616
2	2475
3	19529
4	0
5	0
6	10
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	28448
2	11042
3	1099
4	2498
5	54
6	3
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	1024128
2	0
3	0
4	0
5	2
6	36
7	0
8	1
9	0
10	0
11	0
12	0
13	0
14	0
1	284480
2	0
3	0
4	4628
5	11
6	34
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	967232
2	158108
3	8285
4	0
5	0
6	11
7	40
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	369824
2	162862
3	0
4	1042
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	85344
2	154262
3	1486
4	196
5	0
6	8
7	0
8	1
9	0
10	0
11	0
12	0
13	0
14	0
1	938784
2	25579
3	0
4	121
5	816
6	0
7	4
8	1
9	0
10	0
11	0
12	0
13	0
14	0
1	0
2	12561
3	2780
4	2274
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	256032
2	100876
3	0
4	0
5	0
6	11
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	28448
2	0
3	73
4	0
5	45
6	1
7	2
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	682752
2	4254
3	0
4	630
5	1130
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	284480
2	54331
3	3490
4	91
5	65
6	174
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	824992
2	28105
3	31758
4	2614
5	195
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	341376
2	4532
3	48082
4	0
5	0
6	11
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	967232
2	4143
3	0
4	0
5	0
6	22
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	455168
2	38731
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	0
2	4644
3	0
4	3517
5	479
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	682752
2	142937
3	16480
4	4668
5	2071
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	682752
2	4233
3	1189
4	141
5	5
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	881888
2	0
3	0
4	0
5	0
6	0
7	1
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	967232
2	47943
3	18160
4	213
5	170
6	0
7	2
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	853440
2	130709
3	7285
4	4026
5	68
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	85344
2	25480
3	12264
4	0
5	253
6	7
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	0
2	50913
3	0
4	2925
5	840
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	512064
2	6059
3	3297
4	0
5	437
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	682752
2	167788
3	0
4	35
5	14
6	32
7	0
8	1
9	0
10	0
11	0
12	0
13	0
14	0
1	512064
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	824992
2	100876
3	3630
4	46
5	4
6	1
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	853440
2	214533
3	980
4	5242
5	8
6	2
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	824992
2	243468
3	33352
4	0
5	8
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	881888
2	119531
3	0
4	1382
5	4
6	8
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	256032
2	250125
3	23159
4	473
5	408
6	31
7	2
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	853440
2	0
3	39519
4	1032
5	0
6	0
7	7
8	1
9	0
10	0
11	0
12	0
13	0
14	0
1	682752
2	81527
3	7990
4	259
5	0
6	8
7	4
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	369824
2	0
3	3178
4	0
5	0
6	0
7	4
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	398272
2	38560
3	2947
4	0
5	88
6	9
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	967232
2	0
3	16538
4	1049
5	160
6	9
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	256032
2	18015
3	53217
4	0
5	116
6	60
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	967232
2	14019
3	0
4	167
5	5
6	0
7	2
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	28448
2	36726
3	18888
4	0
5	3
6	0
7	0
8	1
9	0
10	0
11	0
12	0
13	0
14	0
1	1024128
2	69266
3	26303
4	233
5	0
6	3
7	4
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	512064
2	80061
3	1065
4	0
5	0
6	145
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	1024128
2	65939
3	0
4	15502
5	16
6	0
7	1
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	938784
2	30239
3	1277
4	4272
5	1773
6	15
7	14
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	284480
2	3554
3	992
4	1002
5	7
6	61
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	824992
2	40395
3	3585
4	3147
5	356
6	0
7	51
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	881888
2	219787
3	8146
4	5489
5	14
6	3
7	3
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	0
2	88397
3	345
4	2407
5	206
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	682752
2	0
3	11440
4	0
5	231
6	0
7	1
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	369824
2	3554
3	27468
4	1449
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	967232
2	23145
3	23031
4	0
5	0
6	0
7	10
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	256032
2	82572
3	26847
4	756
5	0
6	0
7	36
8	1
9	0
10	0
11	0
12	0
13	0
14	0
1	455168
2	0
3	0
4	70
5	28
6	8
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	284480
2	100004
3	0
4	105
5	575
6	107
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	1024128
2	0
3	4608
4	0
5	142
6	11
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	142240
2	55388
3	6802
4	1470
5	0
6	10
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	682752
2	0
3	2133
4	150
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	483616
2	125733
3	0
4	2268
5	24
6	23
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	967232
2	125733
3	11726
4	119
5	25
6	35
7	0
8	2
9	0
10	0
11	0
12	0
13	0
14	0
1	0
2	0
3	2346
4	2440
5	0
6	147
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	824992
2	58278
3	0
4	5525
5	0
6	203
7	1
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	938784
2	40565
3	0
4	4744
5	339
6	201
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	256032
2	113024
3	0
4	1449
5	0
6	292
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	256032
2	4233
3	904
4	1568
5	18
6	0
7	3
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	369824
2	219787
3	39519
4	679
5	0
6	166
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	0
2	88397
3	20270
4	5954
5	22
6	0
7	5
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	455168
2	203001
3	5111
4	197
5	187
6	39
7	40
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	455168
2	91032
3	0
4	557
5	0
6	22
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	938784
2	90499
3	5086
4	0
5	131
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
1	0
2	116126
3	7278
4	704
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
