GM10847	GM12878	GM12891	GM12892	GM15510	GM18505	GM18951	GM19099	A549	HUVEC	IMR90	SGBS	Beas	AC16
0	0	0	0	0	0	0	0	0	0	0	31	0	0
0	0	0	0	0	0	0	0	0	0	6	0	0	0
0	5	0	0	0	0	0	0	0	2	6	0	0	0
0	42	1	4	0	0	0	0	5	0	0	12	0	0
7	24	0	0	4	0	0	13	0	0	0	17	0	0
0	13	6	4	0	0	5	0	12	0	5	0	0	0
0	0	12	0	0	0	0	0	0	5	0	9	0	0
0	9	0	0	0	0	0	0	3	0	0	10	0	0
0	4	0	4	0	0	0	0	0	7	0	20	0	0
0	0	15	0	0	5	14	7	35	0	27	9	8	0
0	0	4	0	0	0	0	0	11	4	0	0	0	0
0	0	0	0	0	0	0	0	17	0	0	16	0	0
0	0	0	0	0	0	0	0	11	16	5	33	0	0
0	6	5	0	0	0	0	4	0	0	0	26	0	0
0	17	0	0	0	0	4	0	0	0	7	9	0	0
4	5	0	0	0	0	0	8	29	18	9	8	0	0
0	5	0	0	0	0	0	0	0	16	19	6	0	0
4	4	0	6	0	0	0	0	0	6	13	0	7	0
0	0	0	0	0	0	0	0	0	0	5	23	0	0
0	0	0	0	0	0	0	16	0	0	8	32	13	0
0	0	9	0	0	4	0	0	0	6	0	11	13	0
0	33	9	0	0	0	0	0	31	0	4	5	0	0
8	1	0	0	0	0	0	0	19	0	8	69	15	0
0	4	0	0	3	0	7	0	0	0	1	16	0	0
0	0	0	0	0	0	5	0	0	0	5	26	0	0
0	5	0	0	0	0	6	0	0	4	7	19	10	0
5	0	4	0	4	5	0	4	0	0	4	27	0	0
0	0	0	0	0	0	0	0	23	0	10	16	15	0
0	0	0	0	0	0	0	0	0	0	0	18	0	0
5	0	15	7	0	0	4	0	0	9	0	37	0	0
0	0	0	0	0	0	0	0	7	0	4	56	0	0
0	0	0	0	0	0	1	0	0	0	7	31	0	0
0	11	0	5	0	0	0	4	0	0	9	4	0	0
0	0	0	0	0	0	0	0	0	0	7	0	0	0
0	0	4	0	0	0	0	0	0	0	0	1	0	0
0	10	8	15	0	0	0	0	22	3	0	0	6	0
0	0	0	9	0	0	11	0	0	18	13	6	0	0
0	29	0	0	0	0	0	0	0	0	0	5	0	0
0	0	4	4	0	4	4	2	15	0	0	14	0	0
0	15	0	5	0	0	4	0	0	0	12	0	0	0
0	5	7	0	0	0	0	0	23	0	8	26	9	0
0	0	7	0	0	0	0	0	6	4	0	8	0	0
5	16	7	0	0	0	0	0	0	0	0	21	9	0
0	0	0	0	0	0	0	4	7	35	4	27	0	0
0	0	0	0	0	0	0	0	0	7	4	27	0	4
0	0	0	0	0	0	0	0	0	7	4	0	5	0
0	0	4	4	0	0	0	0	1	0	16	10	8	0
0	4	0	0	0	0	0	0	0	4	0	24	0	0
0	0	5	0	0	0	0	0	0	0	0	23	0	6
0	0	0	0	0	0	0	0	10	3	5	13	7	0
0	0	0	4	0	0	4	0	0	0	0	22	0	0
0	8	0	0	0	0	0	0	22	4	4	29	0	0
0	8	0	3	12	0	0	0	15	0	1	15	5	0
0	5	0	0	0	0	0	10	24	3	8	5	0	0
0	0	5	0	0	0	0	4	0	18	0	34	11	0
0	7	0	4	0	0	3	0	0	3	14	24	0	0
0	6	0	0	0	0	0	0	0	0	0	6	0	0
0	0	10	0	0	0	0	0	12	0	8	24	0	0
0	0	0	7	0	0	0	10	19	0	13	17	18	0
4	20	10	0	0	0	0	0	12	0	0	6	0	0
0	13	0	16	0	0	0	14	6	0	5	0	0	0
0	0	0	0	0	0	0	0	8	7	9	36	5	0
0	0	0	0	0	0	0	0	0	0	10	0	0	0
0	18	0	0	0	0	0	0	0	0	13	10	0	0
0	0	4	0	0	0	0	0	0	9	6	7	0	0
0	0	6	0	0	0	0	0	9	14	0	14	0	0
0	27	5	4	0	0	0	0	0	0	15	19	0	0
0	0	0	0	0	0	0	0	36	23	8	21	0	0
0	24	0	0	0	0	0	0	7	1	0	5	8	0
0	11	15	0	0	0	0	0	0	0	0	5	6	0
0	0	0	0	0	0	0	25	15	0	0	9	0	0
0	9	0	0	0	7	0	4	26	19	13	14	0	0
4	20	0	0	4	0	0	7	8	0	7	0	0	0
0	0	5	0	0	0	0	6	0	4	7	16	0	0
0	10	0	4	0	0	0	9	0	0	0	6	6	0
0	0	0	0	4	0	0	0	0	0	0	5	0	0
13	4	0	0	0	0	0	0	0	0	8	3	0	0
0	0	0	0	0	0	0	6	0	0	0	15	0	0
0	5	0	5	0	0	0	0	0	0	0	10	0	0
3	0	5	0	0	0	0	0	9	3	15	18	0	0
0	0	7	0	0	0	0	0	7	0	0	0	0	0
0	10	12	5	5	0	0	0	6	0	0	9	0	4
0	5	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	16	0	0
0	0	0	0	0	0	0	0	8	0	11	2	0	0
0	0	0	8	0	0	0	0	0	0	0	0	0	0
0	14	0	0	0	0	0	0	12	6	0	22	5	0
0	0	0	0	0	0	0	5	0	12	0	5	0	0
0	0	16	0	0	0	0	8	0	6	0	5	0	0
0	0	0	0	0	4	2	6	15	0	7	0	0	0
5	0	4	0	0	0	0	5	0	5	0	20	2	0
0	0	23	0	0	0	0	4	7	4	5	27	0	0
6	0	15	0	4	0	8	0	2	0	0	17	0	0
0	11	4	0	3	0	0	10	9	10	7	5	6	0
5	7	8	0	0	4	0	0	8	12	0	24	0	0
6	10	5	0	0	0	3	0	15	0	0	19	18	0
0	16	0	0	0	0	0	7	2	0	5	16	0	0
0	0	0	0	0	0	0	0	0	0	0	5	0	0
0	0	0	0	0	0	0	0	0	0	0	15	0	0
0	4	16	0	0	0	0	0	0	10	15	10	0	0
5	8	12	0	0	0	0	0	0	10	8	30	0	0
0	0	0	0	0	0	5	0	8	0	0	0	0	0
0	5	0	0	0	5	0	0	15	3	10	24	0	4
0	0	0	0	0	0	0	0	7	0	0	0	7	0
0	8	7	4	0	0	0	4	6	5	0	0	13	0
0	0	0	3	0	0	0	0	24	0	1	25	0	0
0	11	10	0	0	0	0	0	0	0	8	7	6	0
0	0	6	0	0	0	6	0	20	4	0	23	0	0
0	5	8	0	0	0	0	0	7	0	0	5	0	0
0	0	6	0	0	0	7	0	0	5	5	18	0	0
0	0	13	0	0	0	7	0	0	0	0	13	0	0
0	9	6	0	0	0	0	5	0	9	0	28	28	0
0	0	0	0	0	0	0	0	0	0	15	15	6	0
0	6	0	0	0	0	0	0	15	39	4	35	0	0
0	4	7	0	0	0	0	0	10	0	4	20	0	0
0	0	0	0	0	0	0	0	27	0	0	21	0	0
4	6	0	0	0	0	0	4	7	0	6	36	0	0
4	0	5	0	0	0	0	2	0	0	0	5	0	0
0	4	8	0	0	0	0	0	0	0	5	15	0	0
5	13	0	0	0	0	0	0	0	0	16	7	0	0
0	8	0	0	0	0	0	23	0	0	10	42	0	0
0	13	5	0	0	0	1	12	0	0	12	40	10	0
0	0	0	0	0	0	0	0	9	0	9	21	12	0
0	23	0	0	0	0	0	0	0	9	4	0	12	0
0	0	0	0	0	0	0	0	17	0	13	19	0	0
0	13	0	0	0	0	0	4	0	7	15	0	0	0
0	0	6	0	0	0	0	0	25	17	0	9	9	0
3	0	0	0	0	0	0	0	0	0	0	15	0	0
0	5	0	5	0	0	0	0	4	0	0	25	12	0
0	12	0	0	0	13	0	0	2	17	13	4	0	0
0	10	9	0	0	0	0	0	16	0	14	11	0	0
0	6	0	0	0	0	5	0	0	0	10	28	10	0
0	0	6	0	0	0	0	0	13	5	7	8	8	0
0	0	0	0	0	0	0	0	9	0	16	28	0	5
0	25	0	0	0	0	0	4	0	16	8	6	0	0
0	0	0	0	0	0	3	0	0	0	0	0	16	0
0	0	0	0	0	0	0	0	13	0	0	5	0	0
4	5	16	6	0	6	0	0	8	9	20	33	6	3
0	11	0	0	0	0	0	0	17	6	0	0	0	0
0	4	0	0	4	5	0	0	10	0	5	5	0	0
0	0	0	0	0	0	0	0	0	0	5	0	0	0
0	0	12	0	0	0	4	0	0	0	0	16	7	0
0	0	0	0	0	0	0	0	0	0	5	36	0	0
0	4	0	0	0	0	0	0	0	5	19	28	0	0
0	4	17	0	0	0	0	0	0	0	5	6	18	0
0	0	0	0	0	0	7	8	17	18	12	11	5	0
3	20	10	0	0	0	0	0	35	20	0	40	11	0
0	15	0	0	4	0	0	0	0	0	18	31	6	3
0	0	10	8	0	0	0	5	0	0	6	38	0	0
0	0	0	11	0	0	0	0	25	8	20	33	0	4
0	0	4	0	0	0	0	0	15	3	6	21	0	0
0	0	0	0	0	0	0	0	27	19	16	3	0	0
0	22	4	0	0	0	0	14	0	5	4	9	0	0
0	0	27	0	0	0	4	0	0	0	0	8	0	0
6	4	0	0	0	0	9	0	0	10	6	40	0	0
0	11	4	0	0	0	0	0	23	0	7	20	9	0
0	0	0	0	0	0	0	12	0	0	12	17	8	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	23	0	0	0	0	0	4	6	0	0	27	0	0
0	4	7	0	0	3	0	0	0	3	4	14	0	0
0	0	4	2	0	0	0	6	0	0	16	13	0	0
0	25	6	0	0	0	0	4	19	0	0	19	20	3
0	9	17	0	4	0	9	0	24	4	5	8	0	0
0	6	0	0	0	0	0	5	0	11	0	5	0	0
5	4	0	0	0	0	0	0	10	0	0	12	0	0
0	35	0	5	0	0	0	0	0	16	10	5	6	0
0	0	0	5	0	0	0	6	0	3	13	39	0	0
0	4	21	0	0	0	3	1	12	8	0	32	0	0
0	12	26	0	0	0	0	4	26	0	12	34	0	0
0	0	9	0	0	0	0	7	16	19	0	12	0	0
0	0	0	0	0	0	0	0	7	5	0	11	0	7
0	0	0	0	0	5	23	0	4	0	0	4	9	0
4	22	4	4	0	10	0	6	0	0	0	12	0	0
5	0	0	0	0	0	0	0	0	0	0	0	14	0
0	13	0	0	0	0	0	0	7	0	0	32	0	0
4	11	0	0	0	0	0	0	8	3	0	18	0	0
6	12	0	0	0	0	4	1	0	4	0	5	0	0
0	7	6	0	0	0	9	0	14	0	14	18	10	0
0	0	0	0	0	0	0	4	0	0	10	15	0	0
0	22	0	0	0	0	0	0	14	12	14	18	8	0
0	6	0	0	0	0	0	4	16	5	4	46	0	0
0	5	0	0	0	0	0	0	33	21	22	24	11	0
0	5	0	4	0	0	4	13	35	0	12	49	11	0
0	0	0	0	0	0	0	0	4	0	7	25	0	0
0	0	5	0	0	0	0	0	0	6	0	6	0	5
0	0	10	3	0	0	0	0	0	5	0	34	0	0
0	0	7	0	0	0	0	0	16	0	14	0	0	0
0	0	8	0	0	0	0	0	12	0	5	41	0	0
0	0	0	0	0	0	0	0	0	0	16	9	15	0
0	0	0	18	0	0	5	4	0	5	0	0	9	0
0	7	0	0	0	0	0	0	0	0	11	22	6	0
4	0	10	0	0	0	0	0	9	0	27	19	0	0
0	0	0	0	0	0	0	0	11	0	0	33	0	0
0	12	0	0	0	0	0	0	0	0	0	23	0	0
0	0	0	0	0	0	0	4	0	0	6	13	8	0
0	24	0	0	0	0	0	0	6	10	7	15	0	0
0	0	0	0	0	0	0	0	0	0	6	22	0	0
0	0	0	0	0	0	0	16	21	31	29	0	11	0
0	0	4	0	0	0	0	0	0	0	33	26	0	0
0	0	3	0	0	0	0	0	5	13	9	24	11	5
0	6	0	0	0	0	4	0	12	0	10	0	17	0
0	14	7	5	0	5	5	5	0	0	0	7	0	0
0	11	0	0	0	0	0	0	11	5	0	14	0	0
8	0	0	0	0	0	0	0	0	6	0	39	0	0
0	0	4	0	0	0	0	0	0	0	0	14	0	0
4	27	4	0	4	0	0	4	8	5	5	36	7	0
0	0	0	0	0	0	0	0	15	0	0	0	7	0
0	0	0	3	4	0	0	0	0	0	0	19	0	0
0	0	13	3	0	0	0	5	0	0	0	19	0	0
0	14	8	0	0	4	0	0	0	0	0	15	0	0
0	0	0	0	0	0	0	0	0	0	0	15	10	0
