GM10847	GM12878	GM12891	GM12892	GM15510	GM18505	GM18951	GM19099	A549	HUVEC	IMR90	SGBS	Beas	AC16
0	0	0	0	0	0	0	0	0	8	4	16	0	0
0	4	0	0	7	0	13	40	35	4	4	26	0	0
7	17	12	0	0	4	0	5	38	30	34	24	0	0
0	11	11	0	0	0	0	5	0	0	5	38	0	0
0	7	8	0	0	0	0	0	12	4	4	86	11	0
0	26	0	3	0	0	4	0	34	4	0	38	11	0
0	0	0	0	6	0	0	10	11	0	30	28	5	0
0	5	0	0	0	0	0	7	38	105	5	67	34	0
0	0	6	0	0	5	0	4	14	0	7	28	0	0
0	0	7	0	0	10	0	4	0	0	18	23	7	0
0	18	7	0	0	0	7	32	0	4	16	39	9	0
8	6	4	0	0	5	0	3	0	17	4	58	0	0
0	5	14	0	3	1	0	0	9	4	13	33	11	4
5	12	30	0	10	6	7	0	7	0	13	117	9	0
0	0	5	0	0	0	0	5	7	0	11	44	8	0
0	0	0	3	5	4	6	5	8	0	0	24	8	0
9	16	0	4	0	0	7	0	0	0	27	41	0	0
0	30	6	0	0	0	0	15	29	4	19	15	10	4
0	29	10	0	7	0	9	22	0	25	31	26	7	0
0	15	21	0	5	0	0	13	21	0	13	21	6	0
0	7	5	0	7	0	3	0	18	0	0	45	19	0
5	12	0	0	0	0	0	0	11	6	8	75	0	0
0	0	6	0	0	0	8	0	0	0	7	45	2	0
0	13	4	0	0	0	0	0	0	25	9	47	0	0
0	29	0	0	0	0	0	0	31	21	19	45	17	0
0	17	0	0	4	0	0	3	31	20	5	68	0	0
0	29	26	0	0	0	7	0	0	0	12	53	0	0
0	13	17	0	0	0	0	4	32	48	22	21	46	0
0	0	5	0	0	0	0	0	19	0	14	11	0	0
0	15	0	0	4	0	0	21	39	0	0	59	0	0
0	22	0	0	0	0	5	0	12	10	0	42	0	0
0	5	14	0	0	0	5	5	0	9	11	0	0	0
0	13	0	0	0	5	0	0	38	8	13	31	0	0
4	24	3	0	0	0	0	0	10	19	9	27	10	0
0	0	0	3	5	0	5	5	32	41	0	27	0	0
0	0	8	17	0	0	5	12	29	8	0	33	10	0
