N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	9.62	9.62	13.8300001621246	13.8300001621246	10.6200002133846	sp|P19909|SPG2_STRSG	Immunoglobulin G-binding protein G OS=Streptococcus sp. group G GN=spg PE=1 SV=1	STRSG	5					
1	0	9.62	13.6199995875359	13.6199995875359	9.375	sp|P06654|SPG1_STRSG	Immunoglobulin G-binding protein G OS=Streptococcus sp. group G GN=spg PE=1 SV=1	STRSG	5					
1	0	9.62	15.5000001192093	15.5000001192093	11.9099996984005	cont|000168	SPG2_STRSG Immunoglobulin G-binding protein 		5					
2	4	4	6.36600032448769	6.36600032448769	6.36600032448769	sp|P04264|K2C1_HUMAN	Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6	HUMAN	2					
2	0	4	6.4360000193119	6.4360000193119	6.4360000193119	sp|A5A6M6|K2C1_PANTR	Keratin, type II cytoskeletal 1 OS=Pan troglodytes GN=KRT1 PE=2 SV=1	PANTR	2					
2	0	4	6.36600032448769	6.36600032448769	6.36600032448769	cont|000135	cra|hCP1609934.2| keratin 1 (epidermolytic hyperkeratosis) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	2					
2	0	4	6.36600032448769	6.36600032448769	6.36600032448769	cont|000134	rf|NP_006112.2| keratin 1 [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	2					
2	0	4	6.36600032448769	6.36600032448769	6.36600032448769	cont|000132	sp|P04264| K2C1_HUMAN Keratin, type II cytoskeletal 1 (Cytokeratin 1) (K1) (CK 1) (67 kDa cytokeratin) (Hair alpha protein) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	2					
2	0	1.28	1.81200001388788	1.81200001388788	1.81200001388788	sp|Q4FZU2|K2C6A_RAT	Keratin, type II cytoskeletal 6A OS=Rattus norvegicus GN=Krt6a PE=1 SV=1	RAT	1					
2	0	1.28	1.77299994975328	1.77299994975328	1.77299994975328	sp|P04259|K2C6B_HUMAN	Keratin, type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5	HUMAN	1					
