Ensemble_ID,Chromosome,Uniprot_ID,Gene_symbol,Biotype,GO_name,Namespace,distance,peak_Start,peak_Stop,Cell_line,Fold_change,p-value,q-value
ENST00000011898,12,O75954,TSPAN9,protein_coding,membrane,cellular_component,0,3209550,3209700,GM18951,11.9804,30.32199,26.17349
ENST00000011898,12,O75954,TSPAN9,protein_coding,membrane,cellular_component,0,3209550,3209700,HUVEC,53.65639,212.89771,207.80357
ENST00000011898,12,O75954,TSPAN9,protein_coding,integral component of membrane,cellular_component,0,3209550,3209700,GM18951,11.9804,30.32199,26.17349
ENST00000011898,12,O75954,TSPAN9,protein_coding,integral component of membrane,cellular_component,0,3209550,3209700,HUVEC,53.65639,212.89771,207.80357
ENST00000011898,12,O75954,TSPAN9,protein_coding,plasma membrane,cellular_component,0,3209550,3209700,GM18951,11.9804,30.32199,26.17349
ENST00000011898,12,O75954,TSPAN9,protein_coding,plasma membrane,cellular_component,0,3209550,3209700,HUVEC,53.65639,212.89771,207.80357
ENST00000011898,12,O75954,TSPAN9,protein_coding,focal adhesion,cellular_component,0,3209550,3209700,GM18951,11.9804,30.32199,26.17349
ENST00000011898,12,O75954,TSPAN9,protein_coding,focal adhesion,cellular_component,0,3209550,3209700,HUVEC,53.65639,212.89771,207.80357
ENST00000011898,12,O75954,TSPAN9,protein_coding,integral component of plasma membrane,cellular_component,0,3209550,3209700,GM18951,11.9804,30.32199,26.17349
ENST00000011898,12,O75954,TSPAN9,protein_coding,integral component of plasma membrane,cellular_component,0,3209550,3209700,HUVEC,53.65639,212.89771,207.80357
ENST00000011898,12,O75954,TSPAN9,protein_coding,cell surface receptor signaling pathway,biological_process,0,3209550,3209700,GM18951,11.9804,30.32199,26.17349
ENST00000011898,12,O75954,TSPAN9,protein_coding,cell surface receptor signaling pathway,biological_process,0,3209550,3209700,HUVEC,53.65639,212.89771,207.80357
ENST00000011898,12,O75954,TSPAN9,protein_coding,tetraspanin-enriched microdomain,cellular_component,0,3209550,3209700,GM18951,11.9804,30.32199,26.17349
ENST00000011898,12,O75954,TSPAN9,protein_coding,tetraspanin-enriched microdomain,cellular_component,0,3209550,3209700,HUVEC,53.65639,212.89771,207.80357
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,nucleus,cellular_component,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,"regulation of transcription, DNA-templated",biological_process,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,"transcription, DNA-templated",biological_process,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,DNA binding,molecular_function,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
ENST00000056233,7,Q9Y4A8,NFE2L3,protein_coding,regulation of transcription from RNA polymerase II promoter,biological_process,0,26156450,26156500,GM12891,3.55503,7.60524,3.59366
