N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	43.39	43.39	52.0500004291534	36.7799997329712	23.6200004816055	sp|P23246|SFPQ_HUMAN	Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2	HUMAN	19					
2	31.05	32.58	59.6599996089935	43.3099985122681	40.7599985599518	sp|Q15233|NONO_HUMAN	Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=1 SV=4	HUMAN	20					
3	14.12	14.12	22.0300003886223	17.4899995326996	12.9600003361702	sp|P61978|HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1	HUMAN	6					
4	12.57	12.57	29.5800000429153	12.2400000691414	10.6700003147125	sp|Q00839|HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6	HUMAN	7					
5	10.91	10.91	33.8699996471405	20.270000398159	17.0699998736382	sp|P63261|ACTG_HUMAN	Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1	HUMAN	6					
5	0	10.91	29.6000003814697	20.270000398159	17.0699998736382	sp|P60709|ACTB_HUMAN	Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1	HUMAN	6					
5	0	8.89	22.8100001811981	15.3799995779991	12.2000001370907	sp|P68133|ACTS_HUMAN	Actin, alpha skeletal muscle OS=Homo sapiens GN=ACTA1 PE=1 SV=1	HUMAN	5					
5	0	8.89	22.8100001811981	15.3799995779991	12.2000001370907	sp|P68032|ACTC_HUMAN	Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1	HUMAN	5					
5	0	8.89	22.8699997067451	15.4300004243851	12.2299998998642	sp|P63267|ACTH_HUMAN	Actin, gamma-enteric smooth muscle OS=Homo sapiens GN=ACTG2 PE=1 SV=1	HUMAN	5					
5	0	8.89	22.8100001811981	15.3799995779991	12.2000001370907	sp|P62736|ACTA_HUMAN	Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1	HUMAN	5					
6	8.35	8.35	22.6600006222725	8.87899994850159	7.82700031995773	sp|Q9BUJ2|HNRL1_HUMAN	Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens GN=HNRNPUL1 PE=1 SV=2	HUMAN	5					
7	7.64	7.64	23.3899995684624	17.739999294281	17.739999294281	sp|P09651|ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=5	HUMAN	5					
