"Total_score"	"Unused_score"	"% Cov"	"% Cov (95)"	"Accession"	"Peptides(95%)"	"Proteome_type"	"Cell_line"	"Treatment"	"Compartment"
48,63	48,63	85,1	74,9	"sp|P25788|PSA3_HUMAN"	63	"PSMA3"	"Im9"	"CmB"	"N"
8,96	8,96	37,4	14,8	"sp|P09651|ROA1_HUMAN"	4	"PSMA3"	"Im9"	"CmB"	"N"
8,45	8,45	35,6	12,3	"sp|P61978|HNRPK_HUMAN"	4	"PSMA3"	"Im9"	"CmB"	"N"
8,23	6,2	42,5	16,7	"sp|P22626|ROA2_HUMAN"	4	"PSMA3"	"Im9"	"CmB"	"N"
6,05	6,05	16,7	9,6	"sp|P31943|HNRH1_HUMAN"	3	"PSMA3"	"Im9"	"CmB"	"N"
4,29	4,29	22,2	3	"sp|Q9BUJ2|HNRL1_HUMAN"	2	"PSMA3"	"Im9"	"CmB"	"N"
4,06	4,06	22,3	6,1	"sp|Q5VTE0|EF1A3_HUMAN"	2	"PSMA3"	"Im9"	"CmB"	"N"
4	4	45,2	24,6	"sp|P62318|SMD3_HUMAN"	2	"PSMA3"	"Im9"	"CmB"	"N"
2,83	2,83	19,2	1,3	"sp|Q9BXP5|SRRT_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2,31	2,31	14,7	2,3	"sp|P26641|EF1G_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2,22	2,22	17,1	2,7	"sp|P11940|PABP1_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2,22	2,21	16,8	4,9	"sp|P31942|HNRH3_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2,16	2,16	35,3	3,6	"sp|P07910|HNRPC_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2,12	2,12	15	2	"sp|Q15637|SF01_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2	2	7,3	1,8	"sp|O60701|UGDH_HUMAN"	2	"PSMA3"	"Im9"	"CmB"	"N"
2	2	8,5	3	"sp|O43813|LANC1_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2	2	4,6	2,7	"sp|O43670|ZN207_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2	2	12	12	"sp|P62304|RUXE_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
1,74	1,74	18,9	1,8	"sp|Q00839|HNRPU_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
66,6	66,6	84,3	82,8	"sp|P25788|PSA3_HUMAN"	100	"PSMA3"	"Im9"	"CmB"	"N"
6,47	6,47	36,1	8,6	"sp|P61978|HNRPK_HUMAN"	3	"PSMA3"	"Im9"	"CmB"	"N"
6,42	6,42	35,7	10,5	"sp|P22626|ROA2_HUMAN"	3	"PSMA3"	"Im9"	"CmB"	"N"
6	6	17,8	9,6	"sp|P31943|HNRH1_HUMAN"	3	"PSMA3"	"Im9"	"CmB"	"N"
4,4	4,4	38,2	7,3	"sp|P09651|ROA1_HUMAN"	2	"PSMA3"	"Im9"	"CmB"	"N"
4	4	14,9	5	"sp|Q5VTE0|EF1A3_HUMAN"	2	"PSMA3"	"Im9"	"CmB"	"N"
2,07	2,07	18,9	7,9	"sp|O43809|CPSF5_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2,04	2,04	7,8	3	"sp|P26641|EF1G_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2,03	2,03	36,5	7,9	"sp|P62318|SMD3_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2	2	31,8	2,3	"sp|P08621|RU17_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2	2	9,5	1,7	"sp|Q86YZ3|HORN_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2	2	10,8	2,3	"sp|Q01844|EWS_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2	2	15,7	3,6	"sp|P07910|HNRPC_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2	2	9,1	2	"sp|Q15637|SF01_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2	2	15,7	3,7	"sp|O43316|PAX4_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
2	2	24,4	10,9	"sp|P62314|SMD1_HUMAN"	1	"PSMA3"	"Im9"	"CmB"	"N"
43,36	43,36	85,1	71,8	"sp|P25788|PSA3_HUMAN"	53	"PSMA3"	"Im9"	"CmB"	"C"
14,87	14,87	52,7	16,7	"sp|P07437|TBB5_HUMAN"	7	"PSMA3"	"Im9"	"CmB"	"C"
